time_of_day,season,fossil_gas_previous,ren_avg_dif
0.5,1.0,436.0,1405.2022664835165
0.5,1.0,438.0,1168.2022664835165
0.5,1.0,694.0,993.2022664835164
0.5,1.0,1066.0,943.2022664835164
0.5,1.0,1627.0,1086.2022664835165
1.0,1.0,1591.0,1755.2022664835165
1.0,1.0,1477.0,2027.2022664835165
1.0,1.0,1477.0,2264.2022664835163
1.0,1.0,1469.0,2347.2022664835163
1.0,1.0,1224.0,2575.2022664835163
1.0,1.0,880.0,2268.2022664835163
1.0,1.0,645.0,1179.2022664835165
0.0,1.0,665.0,901.2022664835164
0.0,1.0,618.0,849.2022664835163
0.0,1.0,619.0,857.2022664835163
0.0,1.0,679.0,699.2022664835163
0.0,1.0,767.0,797.2022664835163
0.0,1.0,879.0,1302.2022664835165
0.0,1.0,1031.0,1751.2022664835165
0.0,1.0,1307.0,2277.2022664835163
0.5,1.0,1568.0,2377.2022664835163
0.5,1.0,1735.0,2534.2022664835163
0.5,1.0,1508.0,2296.2022664835163
0.5,1.0,1491.0,2214.2022664835163
0.5,1.0,1661.0,2174.2022664835163
0.5,1.0,1732.0,1925.2022664835165
0.5,1.0,1646.0,1920.2022664835165
0.5,1.0,1722.0,2317.2022664835163
0.5,1.0,1815.0,3125.2022664835163
1.0,1.0,1833.0,3686.202266483516
1.0,1.0,1778.0,3380.2022664835163
1.0,1.0,1802.0,3022.2022664835163
1.0,1.0,1267.0,2807.2022664835163
1.0,1.0,1008.0,2441.2022664835163
1.0,1.0,894.0,2043.2022664835165
1.0,1.0,602.0,1919.2022664835165
0.0,1.0,207.0,1586.2022664835165
0.0,1.0,210.0,1448.2022664835165
0.0,1.0,210.0,1348.2022664835165
0.0,1.0,211.0,1611.2022664835165
0.0,1.0,213.0,1671.2022664835165
0.0,1.0,540.0,2051.2022664835163
0.0,1.0,1121.0,2324.2022664835163
0.0,1.0,1454.0,3499.2022664835163
0.5,1.0,1416.0,3381.2022664835163
0.5,1.0,1382.0,3240.2022664835163
0.5,1.0,1374.0,2777.2022664835163
0.5,1.0,1271.0,2565.2022664835163
0.5,1.0,1072.0,2394.2022664835163
0.5,1.0,1063.0,1974.2022664835165
0.5,1.0,1069.0,2120.2022664835163
0.5,1.0,1060.0,2080.2022664835163
0.5,1.0,1212.0,2719.2022664835163
1.0,1.0,1215.0,2781.2022664835163
1.0,1.0,1225.0,2636.2022664835163
1.0,1.0,1175.0,2720.2022664835163
1.0,1.0,881.0,2582.2022664835163
1.0,1.0,870.0,1927.2022664835165
1.0,1.0,501.0,885.2022664835163
1.0,1.0,378.0,711.2022664835163
0.0,1.0,204.0,284.20226648351627
0.0,1.0,213.0,158.20226648351627
0.0,1.0,198.0,373.2022664835162
0.0,1.0,194.0,276.20226648351627
0.0,1.0,196.0,308.20226648351627
0.0,1.0,325.0,970.2022664835164
0.0,1.0,595.0,1658.2022664835165
0.0,1.0,917.0,1796.2022664835165
0.5,1.0,1009.0,2382.2022664835163
0.5,1.0,977.0,2819.2022664835163
0.5,1.0,951.0,2498.2022664835163
0.5,1.0,888.0,2002.2022664835165
0.5,1.0,854.0,2070.2022664835163
0.5,1.0,868.0,1575.2022664835165
0.5,1.0,873.0,1413.2022664835165
0.5,1.0,1112.0,1970.2022664835165
0.5,1.0,1118.0,3092.2022664835163
1.0,1.0,1126.0,3211.2022664835163
1.0,1.0,1149.0,3554.2022664835163
1.0,1.0,1160.0,3539.2022664835163
1.0,1.0,1082.0,3480.2022664835163
1.0,1.0,984.0,1853.2022664835165
1.0,1.0,679.0,1211.2022664835165
1.0,1.0,447.0,1030.2022664835165
0.0,1.0,465.0,610.2022664835163
0.0,1.0,465.0,458.2022664835162
0.0,1.0,465.0,589.2022664835163
0.0,1.0,466.0,670.2022664835163
0.0,1.0,493.0,895.2022664835163
0.0,1.0,552.0,914.2022664835164
0.0,1.0,738.0,1595.2022664835165
0.0,1.0,1030.0,2494.2022664835163
0.5,1.0,1072.0,3297.2022664835163
0.5,1.0,1055.0,2407.2022664835163
0.5,1.0,1044.0,2487.2022664835163
0.5,1.0,1041.0,2360.2022664835163
0.5,1.0,1041.0,1888.2022664835165
0.5,1.0,1044.0,1493.2022664835165
0.5,1.0,1038.0,1203.2022664835165
0.5,1.0,1043.0,1727.2022664835165
0.5,1.0,1055.0,1640.2022664835165
1.0,1.0,1062.0,2670.2022664835163
1.0,1.0,1069.0,2973.2022664835163
1.0,1.0,1066.0,3115.2022664835163
1.0,1.0,1002.0,3306.2022664835163
1.0,1.0,930.0,3198.2022664835163
1.0,1.0,882.0,1973.2022664835165
1.0,1.0,748.0,3158.2022664835163
0.0,1.0,437.0,3373.2022664835163
0.0,1.0,252.0,2900.2022664835163
0.0,1.0,251.0,2226.2022664835163
0.0,1.0,252.0,1167.2022664835165
0.0,1.0,252.0,1647.2022664835165
0.0,1.0,252.0,1554.2022664835165
0.0,1.0,253.0,2365.2022664835163
0.0,1.0,253.0,2758.2022664835163
0.5,1.0,253.0,3174.2022664835163
0.5,1.0,254.0,2417.2022664835163
0.5,1.0,252.0,2033.2022664835165
0.5,1.0,251.0,2623.2022664835163
0.5,1.0,249.0,2492.2022664835163
0.5,1.0,248.0,2334.2022664835163
0.5,1.0,247.0,2025.2022664835165
0.5,1.0,247.0,2119.2022664835163
0.5,1.0,325.0,2665.2022664835163
1.0,1.0,442.0,2475.2022664835163
1.0,1.0,419.0,3223.2022664835163
1.0,1.0,420.0,2872.2022664835163
1.0,1.0,420.0,2291.2022664835163
1.0,1.0,363.0,2542.2022664835163
1.0,1.0,215.0,2015.2022664835165
1.0,1.0,215.0,1975.2022664835165
0.0,1.0,214.0,1828.2022664835165
0.0,1.0,217.0,1875.2022664835165
0.0,1.0,243.0,1494.2022664835165
0.0,1.0,247.0,1491.2022664835165
0.0,1.0,244.0,1447.2022664835165
0.0,1.0,245.0,1233.2022664835165
0.0,1.0,245.0,731.2022664835163
0.0,1.0,246.0,1264.2022664835165
0.5,1.0,249.0,1363.2022664835165
0.5,1.0,248.0,2092.2022664835163
0.5,1.0,247.0,2075.2022664835163
0.5,1.0,247.0,2002.2022664835165
0.5,1.0,246.0,2059.2022664835163
0.5,1.0,208.0,1761.2022664835165
0.5,1.0,201.0,1916.2022664835165
0.5,1.0,201.0,1871.2022664835165
0.5,1.0,202.0,2427.2022664835163
1.0,1.0,203.0,3064.2022664835163
1.0,1.0,204.0,3425.2022664835163
1.0,1.0,205.0,4215.202266483517
1.0,1.0,206.0,4036.202266483516
1.0,1.0,206.0,4174.202266483517
1.0,1.0,205.0,3603.202266483516
1.0,1.0,205.0,2716.2022664835163
0.0,1.0,204.0,2661.2022664835163
0.0,1.0,203.0,2641.2022664835163
0.0,1.0,202.0,2507.2022664835163
0.0,1.0,202.0,2743.2022664835163
0.0,1.0,202.0,2818.2022664835163
0.0,1.0,207.0,2778.2022664835163
0.0,1.0,208.0,3354.2022664835163
0.0,1.0,213.0,3945.202266483516
0.5,1.0,202.0,4174.202266483517
0.5,1.0,201.0,4324.202266483517
0.5,1.0,206.0,4230.202266483517
0.5,1.0,206.0,4435.202266483517
0.5,1.0,206.0,4451.202266483517
0.5,1.0,205.0,4319.202266483517
0.5,1.0,205.0,4170.202266483517
0.5,1.0,204.0,4287.202266483517
0.5,1.0,205.0,4340.202266483517
1.0,1.0,207.0,5025.202266483517
1.0,1.0,211.0,4851.202266483517
1.0,1.0,212.0,5644.202266483517
1.0,1.0,210.0,5274.202266483517
1.0,1.0,207.0,5087.202266483517
1.0,1.0,207.0,4503.202266483517
1.0,1.0,206.0,4080.202266483516
0.0,1.0,197.0,3654.202266483516
0.0,1.0,195.0,4314.202266483517
0.0,1.0,195.0,3648.202266483516
0.0,1.0,194.0,3440.2022664835163
0.0,1.0,194.0,3522.2022664835163
0.0,1.0,194.0,3903.202266483516
0.0,1.0,195.0,3820.202266483516
0.0,1.0,206.0,4339.202266483517
0.5,1.0,202.0,5495.202266483517
0.5,1.0,194.0,6335.202266483517
0.5,1.0,196.0,5830.202266483517
0.5,1.0,214.0,5581.202266483517
0.5,1.0,216.0,5497.202266483517
0.5,1.0,209.0,5404.202266483517
0.5,1.0,213.0,5111.202266483517
0.5,1.0,210.0,5165.202266483517
0.5,1.0,267.0,5712.202266483517
1.0,1.0,359.0,6158.202266483517
1.0,1.0,564.0,6221.202266483517
1.0,1.0,625.0,6174.202266483517
1.0,1.0,620.0,5928.202266483517
1.0,1.0,618.0,5282.202266483517
1.0,1.0,414.0,4257.202266483517
1.0,1.0,209.0,4132.202266483517
0.0,1.0,199.0,3636.202266483516
0.0,1.0,199.0,3213.2022664835163
0.0,1.0,200.0,3140.2022664835163
0.0,1.0,200.0,3162.2022664835163
0.0,1.0,199.0,3165.2022664835163
0.0,1.0,200.0,3365.2022664835163
0.0,1.0,326.0,4042.202266483516
0.0,1.0,592.0,4957.202266483517
0.5,1.0,809.0,5079.202266483517
0.5,1.0,827.0,4615.202266483517
0.5,1.0,839.0,4691.202266483517
0.5,1.0,892.0,4615.202266483517
0.5,1.0,1183.0,3866.202266483516
0.5,1.0,1556.0,3730.202266483516
0.5,1.0,1698.0,3476.2022664835163
0.5,1.0,1497.0,3595.2022664835163
0.5,1.0,1346.0,3992.202266483516
1.0,1.0,1348.0,5037.202266483517
1.0,1.0,1348.0,4467.202266483517
1.0,1.0,1448.0,4627.202266483517
1.0,1.0,1429.0,4655.202266483517
1.0,1.0,1427.0,4017.202266483516
1.0,1.0,1331.0,2985.2022664835163
1.0,1.0,996.0,2226.2022664835163
0.0,1.0,611.0,1537.2022664835165
0.0,1.0,610.0,996.2022664835164
0.0,1.0,608.0,990.2022664835164
0.0,1.0,608.0,912.2022664835164
0.0,1.0,611.0,898.2022664835163
0.0,1.0,687.0,1165.2022664835165
0.0,1.0,771.0,2665.2022664835163
0.0,1.0,781.0,4119.202266483517
0.5,1.0,842.0,3894.202266483516
0.5,1.0,882.0,2657.2022664835163
0.5,1.0,854.0,2490.2022664835163
0.5,1.0,739.0,2700.2022664835163
0.5,1.0,627.0,3057.2022664835163
0.5,1.0,627.0,2803.2022664835163
0.5,1.0,689.0,2988.2022664835163
0.5,1.0,647.0,3148.2022664835163
0.5,1.0,627.0,3544.2022664835163
1.0,1.0,625.0,4690.202266483517
1.0,1.0,771.0,5275.202266483517
1.0,1.0,625.0,5661.202266483517
1.0,1.0,620.0,5617.202266483517
1.0,1.0,620.0,4812.202266483517
1.0,1.0,441.0,4200.202266483517
1.0,1.0,210.0,3052.2022664835163
0.0,1.0,201.0,2905.2022664835163
0.0,1.0,200.0,2525.2022664835163
0.0,1.0,201.0,2291.2022664835163
0.0,1.0,201.0,2529.2022664835163
0.0,1.0,202.0,2506.2022664835163
0.0,1.0,257.0,2575.2022664835163
0.0,1.0,532.0,2431.2022664835163
0.0,1.0,764.0,3199.2022664835163
0.5,1.0,883.0,3822.202266483516
0.5,1.0,1027.0,2868.2022664835163
0.5,1.0,1022.0,2318.2022664835163
0.5,1.0,1035.0,2527.2022664835163
0.5,1.0,1026.0,2592.2022664835163
0.5,1.0,1067.0,2649.2022664835163
0.5,1.0,1143.0,2729.2022664835163
0.5,1.0,1211.0,3197.2022664835163
0.5,1.0,1348.0,4009.202266483516
1.0,1.0,1363.0,3874.202266483516
1.0,1.0,1369.0,4199.202266483517
1.0,1.0,1364.0,4451.202266483517
1.0,1.0,1350.0,4274.202266483517
1.0,1.0,1329.0,3993.202266483516
1.0,1.0,940.0,4083.202266483516
1.0,1.0,670.0,4264.202266483517
0.0,1.0,446.0,3126.2022664835163
0.0,1.0,243.0,2873.2022664835163
0.0,1.0,200.0,2697.2022664835163
0.0,1.0,200.0,2325.2022664835163
0.0,1.0,200.0,2296.2022664835163
0.0,1.0,201.0,2264.2022664835163
0.0,1.0,201.0,2817.2022664835163
0.0,1.0,203.0,2909.2022664835163
0.5,1.0,206.0,3269.2022664835163
0.5,1.0,211.0,3638.202266483516
0.5,1.0,213.0,2979.2022664835163
0.5,1.0,212.0,2916.2022664835163
0.5,1.0,212.0,2323.2022664835163
0.5,1.0,211.0,1726.2022664835165
0.5,1.0,387.0,1260.2022664835165
0.5,1.0,467.0,1095.2022664835165
0.5,1.0,668.0,1172.2022664835165
1.0,1.0,609.0,2707.2022664835163
1.0,1.0,609.0,3519.2022664835163
1.0,1.0,609.0,3629.202266483516
1.0,1.0,477.0,3590.2022664835163
1.0,1.0,211.0,2401.2022664835163
1.0,1.0,203.0,1702.2022664835165
1.0,1.0,204.0,1282.2022664835165
0.0,1.0,204.0,952.2022664835164
0.0,1.0,203.0,935.2022664835164
0.0,1.0,204.0,854.2022664835163
0.0,1.0,205.0,887.2022664835163
0.0,1.0,205.0,962.2022664835164
0.0,1.0,206.0,1229.2022664835165
0.0,1.0,208.0,1702.2022664835165
0.0,1.0,208.0,1943.2022664835165
0.5,1.0,208.0,1990.2022664835165
0.5,1.0,207.0,1871.2022664835165
0.5,1.0,206.0,782.2022664835163
0.5,1.0,206.0,305.20226648351627
0.5,1.0,203.0,371.2022664835162
0.5,1.0,204.0,-84.79773351648373
0.5,1.0,204.0,-395.7977335164837
0.5,1.0,202.0,-691.7977335164837
0.5,1.0,274.0,-177.79773351648373
1.0,1.0,403.0,1593.2022664835165
1.0,1.0,406.0,2493.2022664835163
1.0,1.0,407.0,2868.2022664835163
1.0,1.0,294.0,3285.2022664835163
1.0,1.0,202.0,2889.2022664835163
1.0,1.0,203.0,2039.2022664835165
1.0,1.0,203.0,1120.2022664835165
0.0,1.0,202.0,775.2022664835163
0.0,1.0,203.0,672.2022664835163
0.0,1.0,205.0,511.2022664835162
0.0,1.0,204.0,273.20226648351627
0.0,1.0,205.0,218.20226648351627
0.0,1.0,205.0,483.2022664835162
0.0,1.0,207.0,2413.2022664835163
0.0,1.0,312.0,3159.2022664835163
0.5,1.0,420.0,3770.202266483516
0.5,1.0,417.0,2414.2022664835163
0.5,1.0,420.0,2046.2022664835165
0.5,1.0,417.0,2106.2022664835163
0.5,1.0,418.0,1865.2022664835165
0.5,1.0,421.0,1445.2022664835165
0.5,1.0,423.0,1225.2022664835165
0.5,1.0,430.0,1284.2022664835165
0.5,1.0,421.0,1910.2022664835165
1.0,1.0,433.0,3099.2022664835163
1.0,1.0,451.0,4114.202266483517
1.0,1.0,454.0,4862.202266483517
1.0,1.0,455.0,4693.202266483517
1.0,1.0,432.0,3579.2022664835163
1.0,1.0,427.0,3178.2022664835163
1.0,1.0,491.0,3264.2022664835163
0.0,1.0,612.0,3059.2022664835163
0.0,1.0,613.0,2782.2022664835163
0.0,1.0,614.0,2462.2022664835163
0.0,1.0,616.0,2097.2022664835163
0.0,1.0,617.0,1953.2022664835165
0.0,1.0,620.0,2125.2022664835163
0.0,1.0,718.0,2470.2022664835163
0.0,1.0,808.0,4074.202266483516
0.5,1.0,819.0,3657.202266483516
0.5,1.0,632.0,3132.2022664835163
0.5,1.0,637.0,2719.2022664835163
0.5,1.0,634.0,2642.2022664835163
0.5,1.0,632.0,2617.2022664835163
0.5,1.0,635.0,2397.2022664835163
0.5,1.0,719.0,2023.2022664835165
0.5,1.0,949.0,1769.2022664835165
0.5,1.0,1185.0,2465.2022664835163
1.0,1.0,1458.0,4039.202266483516
1.0,1.0,1282.0,4398.202266483517
1.0,1.0,1494.0,4688.202266483517
1.0,1.0,1714.0,4751.202266483517
1.0,1.0,1517.0,4322.202266483517
1.0,1.0,1329.0,2798.2022664835163
1.0,1.0,974.0,3731.202266483516
0.0,1.0,767.0,2557.2022664835163
0.0,1.0,732.0,2182.2022664835163
0.0,1.0,619.0,2295.2022664835163
0.0,1.0,618.0,2027.2022664835165
0.0,1.0,618.0,2129.2022664835163
0.0,1.0,620.0,2021.2022664835165
0.0,1.0,813.0,3196.2022664835163
0.0,1.0,835.0,4237.202266483517
